"id","category","name","price","salePrice","sale","url"
"52","Consoles","KONSOLA przenośna RETRO RONEBERG RX9 20000 GIER","199,00 zł","399,00 zł","-50%","https://allegro.pl/events/clicks?emission_unit_id=d26f91c4-7b5b-45ff-9343-1f9ba8bb5515&emission_id=8e69a233-d29d-4702-8acd-9053d2a9c1e3&type=OFFER&ts=1616081353072&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkonsola-przenosna-retro-roneberg-rx9-20000-gier-9991184661%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DOTQ1MmU5NjktYTg5Zi00ZGEyLWFlYjMtNjE1ZWFhODExYzFkAA%26bi_t%3Dape&placement=listing:desktop:category&sig=48ec00e3b918c8c3e4c1d2ae3fb02f03"
"53","Consoles","RETRO PEGAZUS KONSOLA 821GIER HDMI + PADY","199,00 zł","299,00 zł","-33%","https://allegro.pl/oferta/retro-pegazus-konsola-821gier-hdmi-pady-9504965395"
"54","Consoles","NOWA KONSOLA NINTENDO SWITCH NEON V2 NOWY MODEL","1 509,00 zł","1899,00 zł","-20%","https://allegro.pl/oferta/nowa-konsola-nintendo-switch-neon-v2-nowy-model-9389607640"
"55","Consoles","GRA TELEWIZYJNA KONSOLA TV PEGASUS PEGAZUS + GRY","69,99 zł z kurierem","299,00 zł","-76%","https://allegro.pl/oferta/gra-telewizyjna-konsola-tv-pegasus-pegazus-gry-9378226727"
"56","Consoles","STACJA DOKUJĄCA PS4 ŁADOWARKA NA 2 KONTROLERY PADY","109,90 zł","119,90 zł","-8%","https://allegro.pl/oferta/stacja-dokujaca-ps4-ladowarka-na-2-kontrolery-pady-8390910532"
"57","Consoles","STACJA DOKUJĄCA ŁADOWARKA POJEDYNCZA DO PADÓW PS5","79,90 zł","99,90 zł","-20%","https://allegro.pl/oferta/stacja-dokujaca-ladowarka-pojedyncza-do-padow-ps5-10109993911"
"58","Consoles","GRA TELEWIZYJNA KONSOLA TV PEGASUS PEGAZUS + GRY","139,00 zł z kurierem","157,00 zł","-11%","https://allegro.pl/oferta/gra-telewizyjna-konsola-tv-pegasus-pegazus-gry-10089400404"
"59","Consoles","NOWA KONSOLA NINTENDO SWITCH GRAY V2 NOWY MODEL","1 509,00 zł","1699,00 zł","-11%","https://allegro.pl/oferta/nowa-konsola-nintendo-switch-gray-v2-nowy-model-9709402592"
"60","Consoles","BEZPRZEWODOWA KONSOLA EMULATOR PLAYSTATION GAMBOY","219,00 zł z kurierem","315,00 zł","-30%","https://allegro.pl/oferta/bezprzewodowa-konsola-emulator-playstation-gamboy-10150400528"
"61","Consoles","BATERIE AKUMULATORY DO PADÓW XBOX SERIES X VENOM","99,90 zł","109,90 zł","-9%","https://allegro.pl/oferta/baterie-akumulatory-do-padow-xbox-series-x-venom-9935638731"
